noun	بُطُولَةِ العالَمِ لِ- -السَيّاراتِ	UNIQUE
noun	بُطُولَةِ العالَمِ لِ- -السَيّاراتِ " الفُورْمُولا 1 "	ACTIVATED
other	ه`ذا الأُسْبُوعُ	REFERENTIAL
other	ه`ذا الأُسْبُوعِ	ACTIVATED
noun	سِباقُ الجائِزَةِ الكُبْرَى لِ- -مالِيزِيا	UNIQUE
noun	سِباقُ الجائِزَةِ الكُبْرَى	IN FOCUS
noun	سِباقِ الجائِزَةِ الكُبْرَى لِ- -مالِيزِيا	ACTIVATED
def-NP	السِباقِ	ACTIVATED
def-NP	السِباقِ	ACTIVATED
noun	سِباقِ الجائِزَةِ الكُبْرَى لِ- -مالِيزِيا	FAMILIAR
other	-هِ	IN FOCUS
def-NP	السِباقَ	ACTIVATED
noun	سِباقِ الجائِزَةِ الكُبْرَى لِ- -مالِيزِيا	FAMILIAR
name	-مالِيزِيا	REFERENTIAL
name	-مالِيزِيا	ACTIVATED
name	-مالِيزِيا	FAMILIAR
name	مالِيزِيا	FAMILIAR
name	مالِيزِيا	FAMILIAR
name	-مالِيزِيا	ACTIVATED
name	حَلْقَةِ سيبانغ	REFERENTIAL
def-NP	الحَلْقَةِ	ACTIVATED
name	سيبانغ	ACTIVATED
def-NP	التَجارِبُ الرَسْمِيَّةُ	REFERENTIAL
other	-ها	IN FOCUS
noun	سِباقِ المَوْسِمِ الماضِي	REFERENTIAL
def-NP	السِباقِ	ACTIVATED
def-NP	السِباقِ	IN FOCUS
noun	سائِقُ " فيراري " الأَلْمانِيُّ مِيكايِل شُوماخَر	UNIQUE
Ø	*	IN FOCUS
Ø	*	ACTIVATED
other	-هِ	IN FOCUS
other	-هُ	IN FOCUS
name	-شُوماخَر	ACTIVATED
name	شُوماخَر	ACTIVATED
other	-هُ	IN FOCUS
other	-هِ	IN FOCUS
Ø	*	IN FOCUS
other	-هِ	IN FOCUS
Ø	*	IN FOCUS
Ø	*	IN FOCUS
Ø	*	FAMILIAR
other	-هُ	IN FOCUS
Ø	*-3	IN FOCUS
other	" فيراري "	REFERENTIAL
noun	فَرِيقُ " فيراري "	FAMILIAR
other	-هِ	IN FOCUS
def-NP	الفَرِيقُ	ACTIVATED
