name	Digital Humanity	REFERENTIAL
name	DH	ACTIVATED
the N	the Humanity	FAMILIAR
N	digital humanity	ACTIVATED
the N	the subject	IN FOCUS
name	DH	IN FOCUS
name	DH	IN FOCUS
dem.prox N	this field	IN FOCUS
name	DH	IN FOCUS
name	DH	FAMILIAR
name	DH	IN FOCUS
name	DH	ACTIVATED
name	DH	ACTIVATED
name	DH	IN FOCUS
name	DH	ACTIVATED
name	DH	ACTIVATED
name	DH	FAMILIAR
name	Digital Humanity Clinic	REFERENTIAL
a N	a DH librarian	FAMILIAR
dem.prox N	this clinic	FAMILIAR
N	clinic	FAMILIAR
name	Dutch librarian	TYPE IDENTIFIABLE
name	Michiel Cock	TYPE IDENTIFIABLE
name	m.p.cock@vu.nl	TYPE IDENTIFIABLE
the N	the Netherlands	REFERENTIAL
the N	the Netherlands	ACTIVATED
the N	the Netherlands	IN FOCUS
the N	the Netherlands	IN FOCUS
the N	the Netherlands	FAMILIAR
(other) N	our 's	FAMILIAR
the N	Amsterdam the Netherlands	REFERENTIAL
name	Amsterdam	FAMILIAR
the N	Vrije Amsterdam the Netherlands	UNIQUE
name	University	FAMILIAR
the N	the Amsterdam	IN FOCUS
name	Lotte Wilms	TYPE IDENTIFIABLE
name	lotte.wilms@kb.nl	TYPE IDENTIFIABLE
the N	National the Netherlands the Netherlands	UNIQUE
quant	2015	REFERENTIAL
quant	2015	FAMILIAR
a N	a initiative	TYPE IDENTIFIABLE
name	Dutch	TYPE IDENTIFIABLE
name	DH+Lib	TYPE IDENTIFIABLE
a N	a Dutch DH+Lib community	UNIQUE
name	Belgium	TYPE IDENTIFIABLE
N	librarian	TYPE IDENTIFIABLE
N	archivist	TYPE IDENTIFIABLE
name	LIS	TYPE IDENTIFIABLE
name	LIS student	TYPE IDENTIFIABLE
N	information	TYPE IDENTIFIABLE
N	information specialist	TYPE IDENTIFIABLE
the N	the librarian archivist LIS student information specialist	UNIQUE
the N	the the librarian archivist LIS student information specialist	UNIQUE
name	Library	TYPE IDENTIFIABLE
the N	topic the Humanity Library '	UNIQUE
the N	the meeting	TYPE IDENTIFIABLE
pron	it	REFERENTIAL
quant N	most participant digital humanity the they expertise the subject	IN FOCUS
quant N	most participant	REFERENTIAL
pron	they	IN FOCUS
the N	expertise the subject	TYPE IDENTIFIABLE
the N	the they expertise the subject	UNIQUE
the N	the level	TYPE IDENTIFIABLE
name	Dutch library	TYPE IDENTIFIABLE
the N	the Dutch library	REFERENTIAL
name	UKB	IN FOCUS
the N	the the Dutch library UKB )	UNIQUE
the N	the the the Dutch library UKB )	UNIQUE
N	librarian	REFERENTIAL
N	librarian	ACTIVATED
the N	the librarian DH	TYPE IDENTIFIABLE
a N	a year	TYPE IDENTIFIABLE
the N	the the Netherlands	REFERENTIAL
name	Koninklijke Bibliotheek	IN FOCUS
the N	the University the Amsterdam	UNIQUE
the N	the the Netherlands Koninklijke Bibliotheek the University the Amsterdam	UNIQUE
pron	their	IN FOCUS
(other) N	their institute	REFERENTIAL
quant N	both institute	ACTIVATED
the N	the institute	IN FOCUS
N	librarian their institute DH	UNIQUE
N	more training	TYPE IDENTIFIABLE
N	researcher	REFERENTIAL
N	researcher	FAMILIAR
N	researcher	FAMILIAR
pron	they	IN FOCUS
dem.prox N	student this field	REFERENTIAL
N	student	FAMILIAR
dem.prox N	researcher student this field	UNIQUE
N	researcher student	FAMILIAR
pron	they	IN FOCUS
pron	their	IN FOCUS
pron	they	ACTIVATED
pron	their	IN FOCUS
pron	they	IN FOCUS
a N	both institute a DH librarian	UNIQUE
dem.prox	this	ACTIVATED
name	Leiden	TYPE IDENTIFIABLE
name	Leiden University	TYPE IDENTIFIABLE
the N	the Leiden University Library	UNIQUE
(other) pron	we	REFERENTIAL
(other) pron	our	IN FOCUS
(other) pron	we	ACTIVATED
(other) pron	our	IN FOCUS
(other) pron	we	FAMILIAR
(other) pron	we	ACTIVATED
(other) pron	we	FAMILIAR
(other) pron	our	ACTIVATED
(other) pron	we	FAMILIAR
(other) pron	we	ACTIVATED
(other) pron	we	ACTIVATED
(other) pron	our	IN FOCUS
the N	the opportunity	TYPE IDENTIFIABLE
dem.prox N	this session	REFERENTIAL
