name	Stjepan Mesic	REFERENTIAL
dem.prox N	este año	IN FOCUS
name	Mesic	ACTIVATED
Ø	_	IN FOCUS
other	su	IN FOCUS
name	Mesic	IN FOCUS
other	( )	IN FOCUS
other	( ) )	IN FOCUS
other	su	IN FOCUS
(other) pron	quien	IN FOCUS
pron?	quien -	IN FOCUS
Ø	_	IN FOCUS
name	Mesic	IN FOCUS
name	Mesic	IN FOCUS
pron	él	IN FOCUS
other	su	ACTIVATED
Ø	_	IN FOCUS
name	Mesic	IN FOCUS
name	Mesic	ACTIVATED
name	Mesic	ACTIVATED
other	su	IN FOCUS
Ø	_	IN FOCUS
name	Mesic	ACTIVATED
the N	el el Socialista	IN FOCUS
Ø	_	IN FOCUS
name	Mesic	IN FOCUS
Ø	_	IN FOCUS
Ø	_	IN FOCUS
Ø	_	IN FOCUS
name	Mesic	ACTIVATED
pron	él	IN FOCUS
Ø	_	IN FOCUS
name	Mesic	ACTIVATED
other	su	IN FOCUS
Ø	_	IN FOCUS
Ø	_	IN FOCUS
(other) pron	que	REFERENTIAL
name	que difunto Franjo Tudjman ,	IN FOCUS
the N	el Mesic quien -	FAMILIAR
the N	el Mesic	ACTIVATED
name	Franjo Tudjman	REFERENTIAL
name	Franjo Tudjman Tudjman	IN FOCUS
name	Tudjman	FAMILIAR
other	, ,	ACTIVATED
other	su	IN FOCUS
other	su	IN FOCUS
other	su	IN FOCUS
N	su tolerancia	IN FOCUS
other	su	IN FOCUS
name	Tudjman	ACTIVATED
N	antiguo presidente	ACTIVATED
name	, Tudjman	ACTIVATED
name	, Tudjman Tudjman	IN FOCUS
name	Tudjman	FAMILIAR
name	Tudjman	ACTIVATED
other	su	IN FOCUS
the N	el presidente	IN FOCUS
name	Tudjman	IN FOCUS
name	Croacia	REFERENTIAL
name	Croacia	FAMILIAR
N	país	FAMILIAR
name	todo Croacia	ACTIVATED
the N	el país	IN FOCUS
name	Croacia	FAMILIAR
N	país	FAMILIAR
name	Croacia	ACTIVATED
