name	Елена Сергеевна	REFERENTIAL
N	старый учительница	FAMILIAR
pron	она	ACTIVATED
pron	она	IN FOCUS
pron	она	IN FOCUS
pron	она	IN FOCUS
pron	она	FAMILIAR
pron	она	IN FOCUS
(other) pron	вы	FAMILIAR
(other) pron	вы то	ACTIVATED
(other) pron	я	IN FOCUS
pron	она	IN FOCUS
pron	она	FAMILIAR
(other) pron	я	IN FOCUS
other	ее	FAMILIAR
(other) pron	вы	ACTIVATED
name	Елена Сергеевна	IN FOCUS
name	Елена Сергеевна	FAMILIAR
(other) pron	я	IN FOCUS
other	мой	ACTIVATED
other	мой	FAMILIAR
(other) pron	я	ACTIVATED
(other) pron	я	FAMILIAR
(other) pron	вы	ACTIVATED
(other) pron	вы	ACTIVATED
(other) pron	вы	IN FOCUS
(other) pron	вы	FAMILIAR
name	Елена Сергеевна	ACTIVATED
other	ваш	FAMILIAR
name	Сергеева	FAMILIAR
name	Сергеева	FAMILIAR
name	Елена Сергеевна	FAMILIAR
N	учительница	FAMILIAR
(other) pron	вы	ACTIVATED
name	Елена Сергеевна	ACTIVATED
(other) pron	я	IN FOCUS
other	тот	FAMILIAR
other	тот	ACTIVATED
other	сам	IN FOCUS
(other) pron	я	FAMILIAR
name	Елена Сергеевна	IN FOCUS
name	Сергеев	FAMILIAR
other	тот	FAMILIAR
other	тот	FAMILIAR
N	соседка	FAMILIAR
N	невысокий человек	REFERENTIAL
pron	он	ACTIVATED
pron	он	IN FOCUS
name	Дементьев	IN FOCUS
(other) pron	ты	IN FOCUS
(other) pron	я	IN FOCUS
N	человек	IN FOCUS
pron	он	IN FOCUS
(other) pron	ты	IN FOCUS
name	Дементьев	IN FOCUS
pron	он	IN FOCUS
(other) pron	я	IN FOCUS
N	актер	IN FOCUS
name	Дементьев	FAMILIAR
pron	он	ACTIVATED
(other) pron	я	FAMILIAR
(other) pron	ты	FAMILIAR
N	мужчина	IN FOCUS
(other) pron	ты	IN FOCUS
name	Дементьев	FAMILIAR
pron	он	IN FOCUS
(other) pron	я	FAMILIAR
(other) pron	я	ACTIVATED
(other) pron	я	FAMILIAR
other	мой	IN FOCUS
pron	он	FAMILIAR
N	комната новый	REFERENTIAL
N	комната	FAMILIAR
N	сосед	REFERENTIAL
N	сосед	ACTIVATED
N	мой сосед	IN FOCUS
(other) pron	себя	IN FOCUS
pron	они	IN FOCUS
pron	они	IN FOCUS
other	их	FAMILIAR
pron	они	FAMILIAR
N	ваш троглодит	FAMILIAR
N	мадам Мордатенкова	REFERENTIAL
pron	она	ACTIVATED
(other) pron	ты	ACTIVATED
name	шокировать его Мордатенкова	ACTIVATED
N	невысокий человек	REFERENTIAL
other	его	ACTIVATED
N	человек кепочка	ACTIVATED
other	его	ACTIVATED
N	кепочка	FAMILIAR
N	незнакомец	FAMILIAR
other	его	ACTIVATED
N	развязный пришелец	IN FOCUS
other	мой то	FAMILIAR
other	мой	ACTIVATED
(other) pron	я	FAMILIAR
(other) pron	я	ACTIVATED
(other) pron	я	IN FOCUS
N	мина	IN FOCUS
(other) pron	я	FAMILIAR
(other) pron	я	FAMILIAR
(other) pron	я	IN FOCUS
other	мой	FAMILIAR
(other) pron	я	FAMILIAR
N	голос кепочка	FAMILIAR
other	мой	ACTIVATED
(other) pron	я	ACTIVATED
(other) pron	я	FAMILIAR
(other) pron	я	ACTIVATED
(other) pron	я	FAMILIAR
pron	он	FAMILIAR
N	бандит то	ACTIVATED
N	мужчина кепочка	FAMILIAR
N	нижний его губа	REFERENTIAL
N	губа	FAMILIAR
N	окурок	REFERENTIAL
N	окурок	FAMILIAR
name?	оскорбить Мордатенкова	REFERENTIAL
N	мад	ACTIVATED
pron	она	ACTIVATED
name	Мордатенкова	FAMILIAR
(other) pron	себя	IN FOCUS
name	Мордатенкова	FAMILIAR
pron	она	ACTIVATED
other	свой	IN FOCUS
other	она	IN FOCUS
N	мадам	IN FOCUS
name	Нюрка	REFERENTIAL
N	жена мой	IN FOCUS
N	метр	REFERENTIAL
pron	они	IN FOCUS
N	метр	ACTIVATED
N	метр	REFERENTIAL
pron	они	IN FOCUS
other	старший мой	REFERENTIAL
name	Альбертик то	IN FOCUS
pron	он	FAMILIAR
name	Альбертик то	FAMILIAR
name	Шульженко	REFERENTIAL
name	Шульженко	FAMILIAR
name	Витька	REFERENTIAL
other	младший мой	ACTIVATED
pron	он	IN FOCUS
other	малый	IN FOCUS
N	умница	IN FOCUS
N	игрун	IN FOCUS
pron	он	IN FOCUS
pron	он	ACTIVATED
pron	он	ACTIVATED
pron	он	IN FOCUS
pron	он	FAMILIAR
N	коридор	REFERENTIAL
N	коридор	FAMILIAR
N	она супруг	REFERENTIAL
name	Харитон	ACTIVATED
name	Мордатенков	FAMILIAR
pron	он	ACTIVATED
N	старый дом	REFERENTIAL
N	дом	FAMILIAR
N	дом	ACTIVATED
N	старый дом	FAMILIAR
N	дом	FAMILIAR
name?	кривоногой Фунтик	REFERENTIAL
name	Фунтик	ACTIVATED
N	маленький пес	FAMILIAR
pron	он	ACTIVATED
N	пес	IN FOCUS
name	Фунтик	ACTIVATED
name	Фунтик	FAMILIAR
N	кривоногый собака	FAMILIAR
N	фунтик	FAMILIAR
name	Фунтик	ACTIVATED
name	Фунтик	FAMILIAR
pron	он	IN FOCUS
N	фунтик	ACTIVATED
N	фунтик	ACTIVATED
pron	он	ACTIVATED
name?	черный Степан	REFERENTIAL
pron	он	ACTIVATED
(other) pron	себя	IN FOCUS
name	Степан	IN FOCUS
pron	он	IN FOCUS
name	Степан	IN FOCUS
name	Степан	FAMILIAR
dem.prox N	этот зверь	IN FOCUS
name	Степан	ACTIVATED
name	Степан	ACTIVATED
name	Степан	FAMILIAR
pron	он	ACTIVATED
name	Степан	IN FOCUS
name	Степан	IN FOCUS
pron	он	IN FOCUS
name	Степан	IN FOCUS
pron	он	IN FOCUS
name	Степан	IN FOCUS
name	Степан	IN FOCUS
name	Степан	FAMILIAR
N	растопырить пятерня	REFERENTIAL
N	обслюнить лапа	IN FOCUS
N	лапа	ACTIVATED
N	ухо	REFERENTIAL
N	ухо	ACTIVATED
pron?	один он	REFERENTIAL
N	вывернутый ухо	FAMILIAR
N	зарасти сад	REFERENTIAL
N	сад	ACTIVATED
N	сад	FAMILIAR
N	крыша	REFERENTIAL
N	крыша	FAMILIAR
N	крыша	ACTIVATED
N?	деревянный вода	REFERENTIAL
pron	она	IN FOCUS
N	миска	ACTIVATED
N	большой корка	REFERENTIAL
N	хлеб	FAMILIAR
N	размокнуть корка	ACTIVATED
pron	она	IN FOCUS
N	корка	IN FOCUS
N	сварливый петух	REFERENTIAL
name	Петух	ACTIVATED
N	петух	ACTIVATED
other	его	IN FOCUS
pron	он	IN FOCUS
N	петух	IN FOCUS
N	петух	IN FOCUS
N	петух	IN FOCUS
N	петух	FAMILIAR
N	петух	ACTIVATED
N	петух	ACTIVATED
N	худой курица	REFERENTIAL
pron	она	ACTIVATED
pron	она	IN FOCUS
dem.prox N	этот курица	IN FOCUS
N	курица этот	ACTIVATED
pron	она	ACTIVATED
dem.prox N	этот курица	IN FOCUS
pron	она	IN FOCUS
(other) pron	мы	REFERENTIAL
(other) pron	мы	ACTIVATED
(other) pron	мы	IN FOCUS
(other) pron	мы	ACTIVATED
(other) pron	мы	ACTIVATED
(other) pron	мы	FAMILIAR
N	средневековый харчевни	REFERENTIAL
pron	они	IN FOCUS
dem.prox N	этот харчевена	ACTIVATED
name	Вальтер Скотт	REFERENTIAL
name	Вальтер Скотт	FAMILIAR
name	Вальтер Скотт	FAMILIAR
N	водосточный труба	REFERENTIAL
N	труба	IN FOCUS
N	маленький лягушка	REFERENTIAL
pron	она	ACTIVATED
N	лягушка	IN FOCUS
N	лягушка	IN FOCUS
pron	она	IN FOCUS
N	лягушка	IN FOCUS
N	лягушка	IN FOCUS
pron	она	IN FOCUS
N	голова	REFERENTIAL
N	голова	ACTIVATED
N	рукомойник	REFERENTIAL
N	рукомойник	ACTIVATED
name	Танька	REFERENTIAL
name	Татьяна Финогеновна	IN FOCUS
name	Татьяна Финогеновна	FAMILIAR
name	Татьяна Финогеновна	ACTIVATED
name	Татьяна Финогеновна	IN FOCUS
name	Таня	FAMILIAR
name	Татьяна Финогеновна	ACTIVATED
pron	она	IN FOCUS
pron	она	IN FOCUS
name	Татьяна Финогеновна	ACTIVATED
name	Татьяна Финогеновна	FAMILIAR
pron	она	IN FOCUS
other	свой	IN FOCUS
pron	она	ACTIVATED
pron	она	IN FOCUS
pron	она	IN FOCUS
N	супруга	IN FOCUS
pron	она	IN FOCUS
name	Татьяна Финогеновна	ACTIVATED
pron	она	IN FOCUS
pron	она	IN FOCUS
pron	она	IN FOCUS
N	ванька Танька	REFERENTIAL
name	Иван Татьяна Финогеновна Заплатины	IN FOCUS
other	свой	IN FOCUS
pron	они	ACTIVATED
pron	они	ACTIVATED
name	Иван Татьяна Финогеновна	FAMILIAR
N	скамейка свой дом	REFERENTIAL
N	скамейка то	ACTIVATED
N	скамейка	FAMILIAR
name	Иван Тихонович	REFERENTIAL
name	Иван Тихонович	FAMILIAR
name	Иван Тихонович	FAMILIAR
name	Иван Тихонович	ACTIVATED
other	его	IN FOCUS
pron	он	IN FOCUS
pron	он	ACTIVATED
pron	он	ACTIVATED
other	его	IN FOCUS
name	Иван Тихонович	FAMILIAR
pron	он	ACTIVATED
pron	он	ACTIVATED
(other) pron	себя	IN FOCUS
(other) pron	я	ACTIVATED
name	Иван Тихонович	IN FOCUS
name	Иван Тихонович	ACTIVATED
pron	он	FAMILIAR
name	Иван Тихонович	ACTIVATED
N	хозяин	ACTIVATED
pron	он	ACTIVATED
name	Иван Тихонович	FAMILIAR
pron	он	ACTIVATED
N	старый картуз	REFERENTIAL
N	картуз	ACTIVATED
pron	он	IN FOCUS
N	картуз отколупнуться кокарда пятнышко	IN FOCUS
other	свой	IN FOCUS
N	золотоцветный знак	REFERENTIAL
N	отколупнуться кокарда	ACTIVATED
N?	вислый береза	REFERENTIAL
pron	она	IN FOCUS
N	волос	REFERENTIAL
pron	он	IN FOCUS
N	ситцевый платье	REFERENTIAL
N	платьице	ACTIVATED
N?	тесный карман	REFERENTIAL
N	жакет	IN FOCUS
N	жакет	ACTIVATED
N	синенький платочек	REFERENTIAL
N	платочок	ACTIVATED
N	синий платочек	IN FOCUS
N?	почти платочек	IN FOCUS
pron	он	IN FOCUS
N	шея	REFERENTIAL
N	шея	IN FOCUS
N	его сердце	REFERENTIAL
N	сердце	IN FOCUS
N	теплый слеза	REFERENTIAL
pron	они	IN FOCUS
N	дрова цех	REFERENTIAL
pron	они	ACTIVATED
N	два поросенок	REFERENTIAL
pron	они	IN FOCUS
dem.dist N	тот пиджак	REFERENTIAL
(other) pron	который	IN FOCUS
pron	они	IN FOCUS
N	русский баба	REFERENTIAL
other	свой	IN FOCUS
N	таблетка	REFERENTIAL
pron	они	IN FOCUS
pron	они	IN FOCUS
name	Дуглас Стоун	REFERENTIAL
pron	он	IN FOCUS
N	прославить хирург	ACTIVATED
N	человек нерв	IN FOCUS
other	свой	IN FOCUS
pron	он	IN FOCUS
name	Дуглас Стоун	ACTIVATED
other	свой	IN FOCUS
other	его	IN FOCUS
pron	он	IN FOCUS
pron	он	IN FOCUS
pron	он	IN FOCUS
pron	он	IN FOCUS
pron	он	IN FOCUS
pron	он	IN FOCUS
pron	он	IN FOCUS
other	его	IN FOCUS
other	его	IN FOCUS
other	его	IN FOCUS
other	его	IN FOCUS
other	его	IN FOCUS
other	его	IN FOCUS
(other) pron	себя	IN FOCUS
other	его	IN FOCUS
other	его	IN FOCUS
pron	он	IN FOCUS
name	Стоун	IN FOCUS
other	его	IN FOCUS
other	его	IN FOCUS
other	его	IN FOCUS
pron	он	IN FOCUS
pron	он	IN FOCUS
other	его	IN FOCUS
pron	он	IN FOCUS
pron	он	IN FOCUS
pron	он	IN FOCUS
pron	он	IN FOCUS
name	Дуглас Стоун	FAMILIAR
name	Стоун	ACTIVATED
pron	он	IN FOCUS
pron	он	IN FOCUS
other	его	IN FOCUS
pron	он	IN FOCUS
other	свой	IN FOCUS
pron	он	IN FOCUS
pron	он	IN FOCUS
other	его	IN FOCUS
pron	он	IN FOCUS
name	Дуглас Стоун	FAMILIAR
other	свой	IN FOCUS
pron	он	ACTIVATED
other	его	IN FOCUS
other	свой	IN FOCUS
pron	он	IN FOCUS
pron	он	IN FOCUS
(other) pron	себя	IN FOCUS
pron	он	IN FOCUS
pron	он	ACTIVATED
(other) pron	себя	IN FOCUS
pron	он	ACTIVATED
pron	он	IN FOCUS
(other) pron	вы	ACTIVATED
(other) pron	я	ACTIVATED
(other) pron	вы	IN FOCUS
name	Дуглас Стоун	IN FOCUS
(other) pron	я	IN FOCUS
N	он хозяин	ACTIVATED
(other) pron	я	FAMILIAR
(other) pron	я	ACTIVATED
(other) pron	я	IN FOCUS
name	Дуглас Стоун	FAMILIAR
(other) pron	я	ACTIVATED
N	господин	IN FOCUS
(other) pron	я	ACTIVATED
(other) pron	я	IN FOCUS
(other) pron	вы	ACTIVATED
(other) pron	я	ACTIVATED
(other) pron	я	IN FOCUS
(other) pron	я	IN FOCUS
(other) pron	вы	FAMILIAR
(other) pron	вы	IN FOCUS
other	ваш	ACTIVATED
name	Дуглас Стоун	IN FOCUS
pron	он	ACTIVATED
pron	он	ACTIVATED
pron	он	IN FOCUS
(other) pron	себя	IN FOCUS
pron	он	FAMILIAR
(other) pron	вы	FAMILIAR
(other) pron	я	FAMILIAR
N	хирург	IN FOCUS
(other) pron	вы	ACTIVATED
name	Дуглас Стоун	ACTIVATED
(other) pron	я	ACTIVATED
(other) pron	я	FAMILIAR
(other) pron	вы	FAMILIAR
name	Дуглас Стоун	FAMILIAR
pron	он	IN FOCUS
name?	небезызвестный Сэннокс	REFERENTIAL
pron	она	IN FOCUS
N	леди Сэннокс	ACTIVATED
(other) pron	себя	IN FOCUS
N	леди Сэннокс	FAMILIAR
pron	она	ACTIVATED
pron	она	ACTIVATED
pron	она	IN FOCUS
pron	она	IN FOCUS
other	ее	IN FOCUS
N	свой жена	FAMILIAR
N	леди Сэннокс	FAMILIAR
N	леди	FAMILIAR
pron	она	ACTIVATED
pron	она	IN FOCUS
pron	она	IN FOCUS
N	леди Сэннокс	FAMILIAR
pron	она	IN FOCUS
N	леди Сэннокс	FAMILIAR
pron	она	ACTIVATED
N	член общество	REFERENTIAL
other	свой	IN FOCUS
N	человек	REFERENTIAL
other	их	IN FOCUS
name	Англия	REFERENTIAL
name	Англия	FAMILIAR
N	слава	REFERENTIAL
pron	она	IN FOCUS
pron	она	IN FOCUS
pron	она	IN FOCUS
pron?	его его его себя	UNIQUE
pron	они	IN FOCUS
name	Лондон	REFERENTIAL
name	Лондон	FAMILIAR
name	Лондон	ACTIVATED
name	Лондон	FAMILIAR
name	Лондон	FAMILIAR
N	жажда удовольствие	REFERENTIAL
(other) pron	который	IN FOCUS
N	золото	REFERENTIAL
(other) pron	который	IN FOCUS
N	лорд Сэннокс	REFERENTIAL
other	свой	IN FOCUS
N	уравновешенный бровь	ACTIVATED
pron	он	IN FOCUS
dem.prox N	этот лорд	IN FOCUS
pron	он	IN FOCUS
pron	он	IN FOCUS
pron	он	IN FOCUS
pron	он	IN FOCUS
pron	он	IN FOCUS
pron	он	IN FOCUS
(other) pron	себя	IN FOCUS
other	свой	IN FOCUS
other	его	IN FOCUS
pron	он	IN FOCUS
other	свой	IN FOCUS
pron	он	IN FOCUS
other	его	ACTIVATED
pron	он	ACTIVATED
N	лорд Сэннокс	IN FOCUS
N	лорд Сэннокс	IN FOCUS
N	театр	REFERENTIAL
other	его	ACTIVATED
N	мисс Доусон	REFERENTIAL
(other) pron	который	IN FOCUS
N	талант	REFERENTIAL
(other) pron	который	IN FOCUS
N	шалость свой жена	REFERENTIAL
pron	они	IN FOCUS
other	только курительная	REFERENTIAL
pron	он	ACTIVATED
pron	он	IN FOCUS
N	двое друг	REFERENTIAL
pron	они	ACTIVATED
N	браслет	REFERENTIAL
pron	он	IN FOCUS
other	свой	TYPE IDENTIFIABLE
N	свой отношение	REFERENTIAL
pron	они	IN FOCUS
N	ветер	REFERENTIAL
other	его	ACTIVATED
N?	темный вино	REFERENTIAL
other	его	IN FOCUS
N	крепкий челюсть	REFERENTIAL
other	свой	IN FOCUS
N	операция	REFERENTIAL
(other) pron	который	IN FOCUS
N	пациент	REFERENTIAL
pron	он	ACTIVATED
pron	он	IN FOCUS
pron	он	IN FOCUS
pron	он	IN FOCUS
other	его	FAMILIAR
name	Гамиль Али	ACTIVATED
N	турок	ACTIVATED
pron	он	ACTIVATED
other	приезжий	IN FOCUS
pron	он	FAMILIAR
pron	он	ACTIVATED
N	невысокий мужчина	IN FOCUS
pron	он	IN FOCUS
pron	он	IN FOCUS
pron	он	IN FOCUS
(other) pron	вы	ACTIVATED
(other) pron	я	ACTIVATED
(other) pron	вы	ACTIVATED
(other) pron	вы	IN FOCUS
